task#,layer,top1,top1_logit,top2,top2_logit,top3,top3_logit,top4,top4_logit,top5,top5_logit
0,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
0,1,otope,17.375, Bannon,15.812, Escorts,15.688,nç,15.188, Sesso,15.125
0,2, Hentai,18.375, Buccane,18.000,代言人,17.250, Sesso,16.875, lesbische,16.750
0,3, Buccane,16.000, commissioner,16.000,代言人,15.812,本场比赛,15.688,.then,15.375
0,4,妊,15.375,htar,14.938, lesbische,14.812,antwort,14.812,本场比赛,14.500
0,5,htar,13.500,omers,12.062,uggestions,11.938,加分,11.750,plement,11.750
0,6,/w,12.375,otope,11.875, likely,10.750,htar,10.562,/,10.062
0,7,otope,11.688,/w,11.312, somewhere,10.812, NOT,10.625,erc,10.438
0,8,与否,11.875, meant,11.375,otope,11.312,/w,11.125, undoubtedly,10.812
0,9,/w,13.125,/is,12.188,abella,12.000,:,11.562,与否,11.500
0,10,abella,12.938,/w,12.188,/is,11.812,eração,11.438,:,11.312
0,11,abella,13.000,/w,12.375,:,11.438,/is,11.375,eração,11.062
0,12,/w,13.438,abella,11.875,:,11.875,/is,11.875,redni,10.312
0,13,/w,13.000,/is,12.750,ellas,12.250,abella,11.625,:,11.250
0,14,/w,13.125,abella,12.125,/is,11.750,:,11.625, none,11.438
0,15,/w,12.375,ccione,11.438, undoubtedly,11.188,/is,11.125, neither,10.875
0,16,ccione,12.062,VERTISEMENT,11.875, NONE,11.562,/is,11.312,vier,11.250
0,17,ccione,13.438,VERTISEMENT,12.125, neither,11.812,:,11.375, undoubtedly,11.250
0,18,的答案,11.500, Answer,11.375,:,11.375,ccione,11.312,:\n\n,11.250
0,19,的答案,15.812,ccione,13.750, Answer,13.062,当之无愧,12.875, undoubtedly,12.812
0,20,ccione,13.875, whichever,12.688,当之无愧,12.625, undoubtedly,12.562,:none,12.312
0,21, whichever,13.250, NONE,13.062, undoubtedly,12.438,ccione,12.312, ../../,12.125
0,22, NONE,12.750,バン,12.562,""",__",12.500, Option,12.500, Resolver,12.188
0,23,:`~,12.375, AssertionError,12.250, Option,12.062, UICollectionViewCell,11.938,:@{,11.750
0,24, Option,12.812, None,12.375, UICollectionViewCell,11.812, NotImplemented,11.375, NONE,11.312
0,25, D,16.125,:d,15.375,:D,14.438, Option,12.125, Davis,12.000
0,26,:d,13.750, D,13.625,:D,13.188, Option,12.250, None,11.625
0,27, D,13.812,:d,13.562,:D,12.562, Ashley,10.812,:A,10.188
0,28,:d,13.188, D,12.938, None,12.125,:D,11.062,_none,11.062
0,29, A,15.062, B,13.250, D,13.250,:A,12.875, None,12.438
0,30, D,22.750, A,15.188,:D,14.875,:d,14.750,D,14.625
0,31, D,19.625, B,16.375, A,14.438, C,13.750,:B,12.312
0,32, D,23.250,D,15.500,_d,15.438, B,14.000,:d,13.812
0,33, D,22.750, A,16.125, B,15.250, C,14.438,D,13.875
0,34, D,25.625, A,19.250, B,18.625,D,16.625, C,16.250
0,35, D,18.500, B,15.812, A,15.375, C,14.250, False,12.812
0,36, D,50.250, A,46.750, B,46.000, C,43.750, False,37.000
1,0, Дмитр,21.875, Почем,19.875, volume,16.750, Алексан,16.375, volum,16.250
1,1,otope,17.375, Bannon,15.812, Escorts,15.562,nç,15.062, Buccane,15.062
1,2, Buccane,18.250, Hentai,18.125,代言人,17.125, clientele,16.625, Sesso,16.625
1,3, Buccane,16.125, commissioner,15.875,代言人,15.750,本场比赛,15.438, lesbische,15.312
1,4,妊,15.375, lesbische,14.812,antwort,14.812,htar,14.812,本场比赛,14.375
1,5,htar,13.312,omers,12.062,uggestions,11.688,plement,11.688,erc,11.625
1,6,/w,12.188,otope,12.000, likely,10.812,htar,10.438,omers,10.000
1,7,otope,11.875,/w,11.062, somewhere,10.688, NOT,10.562,erc,10.562
1,8,与否,11.875,otope,11.312, meant,11.250,/w,10.938, undoubtedly,10.562
1,9,/w,13.000,abella,12.000,/is,11.812,与否,11.438,:,11.375
1,10,abella,12.688,/w,12.000,/is,11.625,eração,11.188,:,11.000
1,11,abella,12.625,/w,12.188,:,11.250,/is,10.875,eração,10.812
1,12,/w,13.000,abella,11.812,:,11.750,/is,11.250, Answer,10.500
1,13,/w,12.688,/is,12.250,abella,11.812,ellas,11.812,:,11.125
1,14,/w,12.750,abella,12.062,:,11.625, none,11.375,/is,11.312
1,15,/w,11.562, neither,11.062,ccione,11.000, undoubtedly,10.875, Answer,10.562
1,16, NONE,11.688,ccione,11.625,VERTISEMENT,11.562, neither,11.500, undoubtedly,10.938
1,17,ccione,13.562,VERTISEMENT,12.250, neither,11.688, unequiv,11.562,:,11.312
1,18, Answer,11.750,ccione,11.688,的答案,11.375,:,11.188,:\n\n,11.000
1,19,的答案,15.688,ccione,13.750, Answer,13.312, undoubtedly,12.750,当之无愧,12.688
1,20,ccione,13.500,当之无愧,12.750, undoubtedly,12.562,:none,12.438,以下几个,11.750
1,21, whichever,12.812,ccione,12.688, NONE,12.688, undoubtedly,12.625,_correct,12.312
1,22, Option,12.875, Resolver,12.875, [[',12.688,""",__",12.500, NONE,12.250
