dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,0,0.42578125,0.03568632885970425,1.0,151936,nan,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,1,1.03125,0.08643294329322863,1.0,151936,2.9394593238830566,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,2,0.6171875,0.05172880697094744,1.0,151936,2.137979745864868,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,3,3.375,0.2828714507778392,1.0,151936,2.0918469429016113,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,4,1.0625,0.08905212339302344,1.0,151936,1.6679706573486328,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,5,1.90625,0.15976998608748325,1.0,151936,2.485910177230835,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,6,3.109375,0.26060841992958333,1.0,151936,1.6074702739715576,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,7,2.734375,0.22917825873204564,1.0,151936,1.7847415208816528,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,8,9.3125,0.7805156697388526,1.0,151936,1.4260691404342651,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,9,5.96875,0.5002633990608082,1.0,151936,1.262637972831726,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,10,3.296875,0.27632350052835214,1.0,151936,1.8854866027832031,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,11,9.0625,0.7595622289404941,1.0,151936,1.35547935962677,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,12,7.71875,0.6469374846493174,1.0,151936,1.1761999130249023,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,13,10.5,0.8800445135310553,1.0,151936,1.0650078058242798,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,14,9.875,0.8276609115351591,1.0,151936,0.9626973271369934,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,15,4.5625,0.3824002945700419,1.0,151936,1.4929574728012085,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,16,9.5,0.7962307503376214,1.0,151936,1.295276403427124,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,17,8.4375,0.707178626944598,1.0,151936,1.2251611948013306,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,18,9.6875,0.8119458309363903,1.0,151936,1.0695233345031738,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,19,9.625,0.8067074707368006,1.0,151936,0.9994173049926758,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,20,9.4375,0.7909923901380318,1.0,151936,1.0273315906524658,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,21,9.8125,0.8224225513355695,1.0,151936,1.042026400566101,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,22,10.1875,0.8538527125331071,1.0,151936,1.0367580652236938,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,23,7.90625,0.6626525652480862,1.0,151936,1.1105637550354004,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,24,6.9375,0.5814579821544472,1.0,151936,1.1002057790756226,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,25,7.75,0.6495566647491122,1.0,151936,0.8927208185195923,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,26,9.4375,0.7909923901380318,1.0,151936,0.9281259179115295,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,27,7.65625,0.6416991244497278,1.0,151936,1.4734755754470825,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,0,0.42578125,0.03568632885970425,1.0,151936,nan,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,1,1.0625,0.08905212339302344,1.0,151936,2.90109920501709,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,2,0.76171875,0.06384251493249843,1.0,151936,2.100736379623413,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,3,3.234375,0.2710851403287626,1.0,151936,1.9744727611541748,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,4,1.0546875,0.08839732836807475,1.0,151936,1.628416657447815,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,5,1.9375,0.16238916618727806,1.0,151936,2.4272916316986084,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,6,3.0625,0.2566796497798911,1.0,151936,1.5881898403167725,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,7,2.875,0.24096456918112227,1.0,151936,1.7083536386489868,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,8,9.125,0.7648005891400838,1.0,151936,1.311884880065918,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,9,6.25,0.5238360199589615,1.0,151936,1.1642053127288818,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,10,2.984375,0.2501316995304041,1.0,151936,1.719589114189148,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,11,8.9375,0.7490855085413148,1.0,151936,1.2577741146087646,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,12,7.53125,0.6312224040505485,1.0,151936,1.106553554534912,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,13,10.375,0.869567793131876,1.0,151936,0.974898636341095,last
